POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3751,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,7,0,3,0,3,3,35
POA3752,0,6,0,240,54,13,3,72,11,37,3,8,9,16,136,363,9,0,3,5,0,3,0,0,0,4,5,33,857,139,33,1251,121,793,50,183,45,258,150,3878
POA3753,0,0,0,17,3,0,0,8,0,4,0,3,0,4,11,36,4,0,0,0,0,3,0,0,0,0,0,14,72,10,3,115,15,79,5,16,4,31,11,363
POA3754,0,3,0,348,71,10,3,72,10,52,0,7,9,27,206,464,7,3,6,22,0,3,0,0,0,0,8,65,1114,199,55,2007,297,1328,62,209,72,260,222,5833
POA3755,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,8,0,0,0,3,0,32
POA3756,0,0,0,99,33,0,0,46,5,27,3,7,6,11,65,206,5,0,3,3,0,4,0,0,0,0,3,19,323,46,13,538,67,363,22,71,24,88,71,1627
POA3757,0,0,0,83,22,9,3,33,0,32,0,3,0,6,49,157,3,0,0,0,0,4,0,0,3,0,3,20,214,55,23,413,32,225,16,46,16,76,57,1178
POA3758,0,0,0,24,3,3,0,9,0,8,0,0,0,5,7,43,0,0,0,0,0,0,0,0,0,0,0,7,54,14,4,121,9,68,3,17,3,22,11,331
POA3759,0,0,0,19,3,0,0,8,0,7,0,0,0,3,7,33,3,0,0,3,0,0,0,0,0,0,0,4,42,4,3,56,8,31,0,3,0,5,7,153
POA3760,0,0,0,13,9,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,17,4,9,0,3,0,0,4,66
POA3761,0,0,0,21,6,0,0,4,0,4,0,3,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,67,9,24,4,9,0,6,13,170
POA3762,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,16
POA3763,0,0,0,0,3,0,0,3,0,6,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,4,31,4,0,73,3,32,8,9,3,15,7,192
POA3764,0,0,0,93,24,3,0,24,3,11,3,5,0,5,39,124,5,0,0,6,0,3,0,3,3,3,4,24,222,38,10,345,40,228,24,41,9,60,50,1078
POA3765,0,0,0,96,13,0,0,25,3,10,3,8,0,4,30,96,4,0,5,4,0,0,0,0,0,0,0,14,181,42,10,350,39,147,18,41,10,42,31,912
POA3766,0,0,0,10,3,0,0,5,0,5,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,60,7,33,3,3,3,5,6,166
POA3767,0,0,0,23,4,0,0,5,0,0,0,0,3,0,6,28,0,0,0,0,0,0,0,0,0,0,0,3,23,3,0,72,5,14,0,9,5,11,9,147
POA3770,0,0,0,32,12,0,0,15,0,3,0,0,0,3,11,46,0,0,0,0,0,0,0,0,0,0,3,7,93,18,11,162,18,71,3,18,0,33,15,437
POA3775,0,0,0,54,8,0,0,19,0,3,0,0,3,6,22,64,0,0,0,5,0,0,0,0,0,0,0,4,106,23,8,177,23,80,11,14,8,34,26,500
POA3777,0,3,0,80,19,3,0,41,3,19,3,3,3,11,51,162,3,0,3,4,0,3,0,0,0,0,3,18,202,64,18,456,36,190,17,53,25,95,60,1214
