POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3276,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,11,44,19,17,11,13,0,13,12,0,145
POA3277,6,0,13,8,0,7,3,6,0,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,10,3,4,3,6,0,0,0,0,23,116,116,110,60,63,26,29,49,6,583
POA3278,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,16,15,16,10,13,0,11,9,0,82
POA3279,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,34,11,8,9,10,0,5,3,3,89
POA3280,68,18,277,102,62,88,23,77,4,716,0,4,4,0,0,0,0,5,0,21,21,16,13,15,13,4,14,16,0,123,25,19,43,34,26,17,23,52,27,271,984,2593,1597,1222,896,587,337,669,96,8977
POA3281,10,0,13,5,0,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,3,0,0,6,0,0,0,16,104,153,111,57,53,30,18,34,4,558
POA3282,8,0,33,8,8,8,0,13,0,76,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,7,7,0,8,0,4,0,33,93,161,156,103,57,33,33,66,4,719
POA3283,3,0,6,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,13,0,0,0,0,0,0,0,11,30,90,105,68,44,29,23,17,38,14,431
POA3284,14,0,42,8,5,0,0,6,0,78,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,11,5,7,8,3,0,0,0,10,0,29,191,287,155,113,71,33,25,73,14,963
POA3285,4,0,9,4,0,5,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,3,3,0,0,0,5,3,25,91,87,43,40,21,16,32,33,7,377
