POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3699,..,184,184,126,20,143,34,0,34,42,0,42,7,0,7,9,0,9,224,209,431
POA3700,..,160,160,198,7,209,60,0,60,45,0,45,28,0,28,16,0,16,346,170,517
POA3701,..,123,123,177,3,179,43,0,40,46,0,46,25,0,25,5,0,5,295,124,419
POA3704,..,3,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8
POA3705,..,24,24,38,0,44,4,0,4,12,0,12,7,0,7,0,0,0,67,20,94
POA3707,..,243,243,252,23,270,62,4,66,82,0,82,39,0,39,11,0,11,444,265,709
POA3708,..,7,7,9,0,14,3,0,3,0,0,0,0,0,0,0,0,0,14,8,28
POA3709,..,54,54,60,3,58,8,0,8,3,0,3,8,0,8,3,0,3,76,56,136
POA3711,..,50,50,79,3,79,18,0,18,27,0,27,5,0,5,7,0,7,124,58,184
POA3712,..,63,63,63,6,69,8,0,8,9,0,9,6,0,6,3,0,3,87,70,162
POA3713,..,166,166,165,9,175,28,0,31,25,5,29,6,3,6,4,0,4,232,182,410
POA3714,..,479,479,517,25,541,160,3,158,155,0,155,54,0,54,17,0,22,905,504,1406
POA3715,..,40,40,48,5,50,7,0,7,12,0,12,5,0,5,3,0,3,75,38,115
POA3717,..,337,337,424,29,458,98,0,98,99,0,99,52,0,57,32,0,32,703,362,1074
POA3718,..,12,12,10,0,10,5,0,5,0,0,0,0,0,0,0,0,0,20,12,33
POA3719,..,41,41,76,4,79,17,0,17,9,0,9,7,0,7,3,0,3,105,38,148
POA3720,..,61,61,93,12,99,18,0,24,18,0,18,10,0,10,7,0,7,144,67,215
