SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
202031032,19,16,68,702,909,504,460,613,341,3530
202031033,113,58,247,980,1301,746,798,1241,873,5937
203011034,69,14,100,1018,1390,636,558,804,351,4752
203011035,13,3,42,1037,1515,751,765,853,426,5350
203011036,62,23,116,957,1220,696,579,790,418,4654
203021037,312,107,622,2744,3240,1448,1011,2371,863,11684
203021038,178,99,418,3865,4398,2105,1997,6411,2482,21261
203021039,153,58,318,2714,2985,1228,822,2180,1006,10929
203021040,216,95,512,3959,4547,1862,1341,3101,1271,16088
203021041,470,157,910,4404,5107,2333,1743,4015,1347,18953
203021042,186,64,445,4585,4980,2380,1704,3252,1026,17931
203021043,141,41,272,3024,3623,1705,1472,2837,1854,14513
203021044,130,47,286,2270,2850,1324,1045,2071,727,10290
203021045,290,86,540,2513,2929,1407,1137,3196,1154,12340
203021046,79,57,271,2090,2303,1134,741,1340,607,8221
203021047,244,218,609,2549,2954,1346,1141,2983,1291,12268
203031048,152,62,358,2283,2871,1582,1288,2066,863,10956
203031049,91,33,188,889,1240,666,442,624,444,4308
203031050,260,78,509,4261,5471,2643,1877,2842,1227,18325
203031051,125,74,314,1087,1621,940,688,1387,774,6503
203031052,101,38,237,679,1070,540,377,591,358,3618
203031053,138,32,264,3547,4245,2037,1423,2049,887,14188
204011054,118,42,219,952,1410,718,634,1117,674,5510
204011055,106,73,261,902,1358,761,655,1095,614,5376
204011056,127,47,241,2255,2879,1274,1201,2388,1076,11075
204011057,96,40,207,1440,1951,994,790,1229,871,7274
204011058,55,25,119,591,836,434,389,707,427,3389
204011059,63,76,205,950,1214,583,518,1243,852,5361
204011060,12,14,46,679,900,455,427,671,422,3558
204011061,3,0,3,31,46,24,17,17,24,157
204011062,31,17,82,468,736,435,358,599,371,2977
204021063,206,89,485,1627,2180,1185,924,1866,958,8735
204021064,13,9,43,551,732,466,398,485,383,3010
204021065,36,18,102,630,908,438,328,592,309,3205
204021066,318,323,856,2943,4025,1951,1477,3268,1688,15346
204021067,47,26,150,1430,2217,1197,983,1203,829,7854
204031068,57,20,119,685,1016,565,381,614,569,3824
204031069,67,43,203,1297,1922,952,721,1110,843,6846
204031070,13,13,41,497,703,363,288,417,251,2526
204031071,84,41,179,754,1010,557,403,756,446,3915
204031072,93,40,197,887,1337,713,641,891,534,4998
204031073,179,28,275,2554,3252,1440,1117,2524,861,11751
204031074,203,91,471,4183,5407,2275,1807,4019,1816,19497
204031075,63,4,90,714,1062,578,423,593,228,3602
205011076,213,68,382,2611,3353,1613,1461,2583,1294,12918
205011077,31,27,91,974,1270,750,701,753,517,4972
205011078,71,48,178,1167,1612,840,787,1125,657,6181
205011079,145,138,453,3243,4066,2038,1709,2836,1352,15252
205021080,0,0,0,0,0,0,0,0,0,4
205021081,251,154,563,2156,2931,1525,1343,2515,1637,12101
205021082,35,26,98,1110,1692,997,890,1045,668,6410
205021083,0,0,0,0,0,0,0,0,0,0
205021084,101,120,307,1359,2047,1178,1067,1694,1131,8480
205021085,86,40,180,798,1345,809,769,1044,681,5448
205021086,107,58,244,972,1399,848,640,1098,598,5555
205031087,102,52,254,1286,1894,1124,933,1245,962,7438
205031088,0,0,0,8,24,20,22,14,10,96
205031089,120,45,253,1409,1878,1061,945,1415,692,7401
205031090,142,57,309,1713,2314,1345,1103,1524,922,8920
