SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22577,0,0,0,0,0,0,0,0,0,3
SSC22578,0,0,0,3,7,4,0,5,5,25
SSC22579,0,0,0,3,4,0,4,3,3,19
SSC22580,0,0,3,10,19,14,7,9,0,61
SSC22581,16,8,38,663,773,381,279,463,177,2750
SSC22582,0,0,0,0,0,0,0,0,0,0
SSC22583,0,3,5,126,220,83,84,110,52,680
SSC22584,3,0,8,86,150,60,53,60,23,425
SSC22585,0,0,5,64,104,50,40,70,42,371
SSC22586,0,0,8,90,91,55,50,35,43,361
SSC22587,0,0,0,22,22,17,13,23,11,111
SSC22588,0,0,0,45,46,30,20,20,51,209
SSC22589,0,0,0,25,51,32,21,25,29,181
SSC22590,0,0,0,5,5,3,3,3,0,19
SSC22591,0,0,0,3,3,0,0,3,0,14
SSC22592,0,0,0,3,0,0,3,3,0,11
SSC22593,0,0,0,4,6,0,3,10,5,29
SSC22594,0,0,0,8,13,3,5,7,3,36
SSC22595,3,3,4,20,20,13,27,41,14,142
SSC22596,0,0,0,0,0,0,0,0,0,3
SSC22597,0,0,0,3,3,0,3,0,14,19
SSC22598,7,0,9,70,73,43,50,89,33,356
SSC22599,0,0,6,38,45,29,22,33,16,180
SSC22600,0,0,0,11,19,5,3,8,6,49
SSC22601,84,3,104,671,768,354,247,582,162,2788
SSC22602,0,0,4,15,29,12,10,16,3,79
SSC22603,0,0,0,16,20,16,13,15,16,94
SSC22604,6,0,3,58,74,41,24,53,33,281
SSC22605,0,0,0,4,10,8,10,0,0,28
SSC22606,0,0,0,3,6,0,8,0,3,22
SSC22607,14,8,45,1332,1738,746,483,813,266,5381
SSC22608,0,0,0,21,28,19,26,26,13,130
SSC22609,0,0,0,11,12,3,4,6,5,33
SSC22610,0,0,0,3,16,7,3,3,13,47
SSC22611,0,0,4,32,38,30,13,31,15,152
SSC22612,8,4,23,129,220,126,75,126,55,731
SSC22613,3,8,15,106,151,109,78,112,289,844
SSC22614,92,23,191,2021,2361,1102,779,1626,359,8256
SSC22615,205,68,367,2434,2564,1365,904,2251,396,9902
SSC22616,0,0,0,3,5,4,3,8,9,35
SSC22617,0,0,0,8,10,4,11,6,0,43
SSC22618,0,0,0,4,0,0,3,3,0,12
SSC22619,0,0,0,10,12,11,9,16,5,60
SSC22620,59,19,143,1298,1599,794,561,1023,233,5506
SSC22621,0,0,4,19,35,19,11,29,22,134
SSC22622,36,4,60,116,180,112,95,196,67,764
SSC22623,0,0,0,7,3,7,8,3,3,31
SSC22624,0,0,0,0,9,6,3,10,5,25
SSC22625,0,0,0,4,10,4,11,3,9,42
SSC22626,0,0,8,82,84,36,38,51,16,299
SSC22627,0,0,0,3,5,0,4,6,0,25
SSC22628,0,0,0,3,0,0,0,0,7,11
SSC22629,0,0,0,0,0,0,0,0,0,0
SSC22630,0,0,3,8,8,4,6,10,4,38
SSC22631,6,3,17,203,241,101,96,190,78,910
SSC22632,3,0,3,9,22,11,11,17,18,77
SSC22633,0,0,0,3,13,3,3,10,3,29
SSC22634,0,0,0,6,15,11,20,10,12,73
SSC22635,0,0,0,10,7,3,6,3,13,36
SSC22636,0,0,0,5,3,4,3,0,3,28
SSC22637,0,3,7,107,135,83,59,72,43,492
SSC22638,0,0,0,3,6,3,3,4,0,20
SSC22639,0,0,0,0,0,0,0,0,0,0
SSC22640,0,0,0,4,14,16,10,9,9,70
SSC22641,0,0,0,4,0,0,0,0,0,5
SSC22642,0,0,0,0,0,0,0,0,0,3
SSC22643,0,0,4,33,41,19,19,24,15,151
SSC22644,0,0,0,12,19,12,18,19,7,83
SSC22645,0,0,0,0,0,3,0,0,0,3
SSC22646,0,0,0,0,5,0,0,3,3,13
SSC22647,0,0,0,4,0,0,3,3,0,8
SSC22648,21,9,60,1915,2200,906,814,1698,908,8432
SSC22649,0,0,0,7,3,7,7,4,0,26
SSC22650,68,3,83,212,243,176,133,271,66,1103
SSC22651,0,0,0,10,8,4,5,0,4,29
SSC22652,5,0,6,46,45,28,27,31,16,198
SSC22653,0,0,0,35,29,14,25,18,10,126
SSC22654,0,3,3,19,29,19,14,28,19,122
SSC22655,4,3,8,42,37,24,15,32,16,168
SSC22656,0,0,15,469,459,225,165,246,96,1656
SSC22657,0,0,0,18,18,8,9,10,3,62
SSC22658,3,0,7,71,112,57,51,50,27,367
SSC22659,3,3,7,77,91,51,35,74,29,355
SSC22660,11,16,56,569,665,332,248,459,161,2434
SSC22661,0,0,3,9,11,9,4,0,0,44
SSC22662,0,0,3,21,24,7,13,10,8,85
SSC22663,3,0,7,260,304,134,107,167,91,1072
SSC22664,0,0,0,0,0,0,0,0,0,0
SSC22665,0,0,3,26,64,30,23,23,18,187
SSC22666,0,0,0,0,0,0,4,0,0,9
SSC22667,314,318,845,2833,3894,1865,1411,3199,1647,14853
SSC22668,0,0,5,76,105,81,48,79,37,431
SSC22669,0,0,0,0,0,0,0,0,0,4
SSC22670,0,0,0,38,35,22,24,28,29,173
SSC22671,0,0,4,19,24,3,19,15,9,92
SSC22672,211,34,390,2798,3158,1346,1023,2591,586,11501
SSC22673,468,92,759,4040,4119,1871,1382,4224,728,16358
SSC22674,0,0,3,56,69,40,35,31,50,287
SSC22675,3,0,5,8,11,4,3,13,13,49
SSC22676,32,4,51,321,435,261,182,288,232,1714
SSC22677,3,0,3,11,23,10,11,6,3,66
SSC22678,0,0,0,15,13,10,10,6,3,52
SSC22679,0,0,0,3,6,3,3,3,0,12
SSC22680,0,0,0,21,30,17,9,17,14,106
SSC22681,0,0,0,0,0,0,0,0,3,3
SSC22682,0,0,3,98,119,52,38,94,65,457
SSC22683,0,0,0,9,4,5,3,3,9,26
SSC22684,70,28,144,365,477,275,229,467,245,2050
SSC22685,129,129,416,2758,3462,1663,1401,2462,1120,12868
SSC22686,0,0,3,49,45,40,20,35,20,211
SSC22687,0,0,3,3,7,0,3,0,0,19
SSC22688,0,0,5,13,11,7,3,13,8,52
SSC22689,18,4,40,1139,1210,634,425,790,236,4436
SSC22690,0,0,3,149,130,72,56,99,28,535
SSC22691,15,0,23,1071,1074,509,347,658,152,3807
SSC22692,0,0,0,3,5,3,0,0,3,13
SSC22693,0,0,0,26,32,22,16,23,6,128
SSC22694,6,0,10,113,144,73,62,86,52,528
SSC22695,0,0,0,5,8,4,0,0,0,17
SSC22696,0,0,6,30,45,22,26,19,7,159
SSC22697,435,193,936,5342,6362,2906,2229,5219,2443,24508
SSC22698,0,0,0,6,9,3,0,5,5,25
SSC22699,0,0,0,12,22,6,14,5,0,60
SSC22700,0,3,3,15,21,15,10,6,9,74
SSC22701,0,0,3,18,8,13,15,27,21,100
SSC22702,0,0,0,4,7,3,3,0,0,13
SSC22703,0,0,3,10,3,6,9,9,0,31
SSC22704,3,0,4,32,44,17,23,35,17,166
SSC22705,0,0,0,4,0,3,0,0,0,11
SSC22706,0,0,0,17,23,11,13,13,4,82
SSC22707,5,0,7,502,518,211,138,443,87,1906
SSC22708,60,26,149,1017,1215,472,359,901,291,4249
SSC22709,15,3,51,765,866,398,313,651,128,3122
SSC22710,0,0,0,11,14,4,3,3,6,43
SSC22711,0,0,0,28,36,29,13,17,19,145
SSC22712,0,0,0,0,0,0,0,0,0,0
SSC22713,0,0,0,17,29,15,9,9,4,81
SSC22714,50,6,58,399,436,176,160,352,96,1628
SSC22715,0,0,0,0,9,0,0,0,0,6
SSC22716,3,0,4,34,57,34,40,47,19,223
SSC22717,7,3,25,1150,1023,414,291,852,310,4037
SSC22718,0,0,0,0,5,3,0,3,0,22
SSC22719,0,0,0,13,11,9,3,9,4,43
SSC22720,10,9,29,94,178,102,101,209,134,818
SSC22721,0,0,0,3,6,3,0,0,0,16
SSC22722,0,0,0,3,9,0,6,8,3,33
SSC22723,0,0,0,0,3,3,0,0,0,10
SSC22724,0,0,0,11,12,9,8,10,14,54
SSC22725,0,0,0,26,23,17,14,12,10,97
SSC22726,0,0,0,11,6,3,9,6,3,33
SSC22727,0,0,0,17,39,16,16,11,6,110
SSC22728,3,3,9,43,55,30,22,21,29,202
SSC22729,0,0,0,51,73,48,30,70,26,299
