SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
209011204,3621,3824,7440,1772,976,2748,446,980,1429,86,141,227,124,99,225,2432,2197,4630,1041,1474,2511,5.1,4.5,4.9,67.2,57.5,62.2,63.6,54.8,59.2,172,184,352,62,139,198,507,702,1208,321,444,762,916,324,1242,26,36,59,43,78,123,983,442,1417,3688,3855,7539,457,454,918,2741,2897,5641,1243,1226,2473
209021205,4704,5098,9802,1631,926,2555,743,1267,2014,134,180,312,365,360,723,2871,2734,5598,1515,1979,3489,12.7,13.2,12.9,61,53.6,57.1,53.3,46.5,49.8,465,410,881,80,119,199,937,998,1932,402,407,806,491,250,744,25,50,72,33,68,105,549,372,919,3743,3948,7689,1248,1408,2650,2350,2521,4873,2519,2708,5228
209021207,11006,11849,22852,4235,2638,6874,1594,2377,3974,294,307,598,584,526,1110,6711,5845,12553,3344,4955,8294,8.7,9,8.8,61,49.3,54.9,55.6,44.9,50.1,621,662,1276,138,294,427,1627,1888,3510,926,1057,1983,1799,906,2705,81,113,193,139,209,343,2015,1227,3242,9504,10271,19776,2150,2118,4272,6077,6757,12831,5051,5016,10064
209021208,9790,10163,19951,3963,2329,6293,1277,2109,3385,252,288,540,463,390,854,5956,5117,11072,3201,4394,7588,7.8,7.6,7.7,60.8,50.3,55.5,56.1,46.5,51.2,568,537,1112,146,312,460,1320,1605,2928,757,928,1686,1615,713,2331,60,90,147,108,160,270,1783,960,2744,9359,9505,18859,1503,1514,3021,6424,6753,13175,3861,3780,7641
209021428,8321,8730,17056,3423,2316,5740,1245,2041,3286,227,241,466,457,362,817,5341,4965,10309,2256,3018,5268,8.6,7.3,7.9,64.2,56.9,60.4,58.8,52.7,55.7,569,651,1223,177,341,516,1540,1815,3351,711,784,1498,1073,617,1688,44,95,141,90,119,207,1204,829,2030,7032,7274,14304,1650,1732,3384,4499,4869,9373,3885,3866,7755
209021429,4816,5181,9997,2158,1372,3532,744,1421,2171,121,154,274,220,192,414,3243,3143,6387,1280,1766,3046,6.8,6.1,6.5,67.3,60.7,63.9,62.8,56.9,59.8,344,428,768,127,266,390,1000,1231,2230,404,495,902,684,318,1000,26,45,73,50,63,109,760,424,1182,4530,4751,9281,915,981,1893,3083,3359,6440,2109,2172,4285
209031209,8852,9509,18361,4616,2392,7007,1300,3241,4538,203,325,529,288,271,562,6415,6223,12635,2128,2927,5052,4.5,4.4,4.4,72.5,65.4,68.8,69.1,62.7,65.8,664,647,1305,303,515,822,1775,2197,3967,909,1104,2013,1809,763,2580,42,85,120,143,199,343,1994,1054,3044,9528,9923,19455,909,1039,1943,7342,7662,15002,2803,2997,5801
209031210,1331,1406,2735,695,312,1015,190,534,728,48,53,102,48,37,80,986,937,1924,305,414,720,4.9,3.9,4.2,74.1,66.6,70.3,70.1,63.9,67.5,54,60,110,42,81,125,159,283,442,118,174,292,434,146,584,10,16,23,18,41,61,458,198,659,1480,1501,2982,122,130,259,1151,1152,2299,402,427,830
209031211,1566,1510,3073,761,344,1103,187,444,632,60,50,115,49,51,93,1056,888,1946,394,491,882,4.6,5.7,4.8,67.4,58.8,63.3,64.4,55.5,60.2,31,34,64,20,50,69,89,173,260,142,205,354,530,232,764,11,19,30,18,37,57,566,289,856,1608,1508,3120,183,170,355,1166,1091,2259,535,508,1045
209031212,2128,2098,4233,1034,471,1507,306,689,992,71,86,160,61,45,103,1471,1286,2762,499,653,1157,4.1,3.5,3.7,69.1,61.3,65.2,66.3,59.4,62.8,97,110,209,40,105,150,271,448,719,202,247,450,609,167,778,18,25,41,32,48,80,659,241,903,2180,2109,4290,170,202,371,1738,1690,3433,551,565,1118
209031213,3747,3791,7539,2057,934,2995,465,1304,1774,97,138,242,126,92,215,2751,2472,5223,837,1179,2010,4.6,3.7,4.1,73.4,65.2,69.3,69.9,62.7,66.5,182,141,330,80,135,207,562,715,1273,347,457,812,959,296,1255,13,40,55,51,71,122,1026,404,1433,3991,3991,7977,390,400,789,3024,2985,6012,1222,1313,2541
209031214,2664,2667,5335,1331,612,1939,433,930,1367,69,93,159,72,78,150,1899,1712,3611,621,834,1457,3.8,4.6,4.2,71.3,64.2,67.7,68.8,61.3,64.9,198,202,396,85,145,232,523,623,1144,270,342,612,579,161,741,12,24,43,27,54,81,619,243,865,2788,2811,5602,292,292,582,2093,2103,4191,886,902,1788
209031215,5404,5611,11014,3027,1497,4520,724,1963,2684,143,184,332,205,144,347,4098,3786,7884,1115,1642,2752,5,3.8,4.4,75.8,67.5,71.6,72.1,64.9,68.4,183,225,414,132,254,381,721,1039,1759,533,674,1210,1582,570,2154,31,60,88,68,125,191,1677,756,2431,5810,5888,11700,512,591,1106,4367,4391,8754,1769,1905,3675
209041216,3019,3175,6193,1273,750,2021,405,780,1185,58,110,166,184,152,329,1918,1789,3704,956,1242,2196,9.6,8.5,8.9,63.5,56.3,59.8,57.5,51.7,54.4,228,222,454,39,75,118,544,620,1169,295,293,592,424,203,632,20,27,38,34,48,81,474,278,754,2707,2805,5505,674,736,1410,1657,1739,3399,1604,1709,3309
209041217,2698,2709,5406,977,568,1550,403,603,1007,58,69,125,162,101,260,1612,1335,2940,937,1205,2142,10,7.6,8.8,59.7,49.3,54.4,53.3,45.8,49.6,152,121,274,24,57,78,372,413,788,216,256,472,470,203,674,13,28,39,31,42,78,517,269,785,2311,2332,4643,537,459,1000,1670,1763,3433,1070,976,2049
209041219,9245,9380,18625,3321,1702,5024,1124,1591,2710,265,267,531,496,388,885,5204,3946,9155,3469,4868,8335,9.5,9.8,9.7,56.3,42.1,49.2,50.9,38,44.4,266,286,551,63,122,181,799,966,1763,641,776,1416,1480,724,2201,67,84,152,123,164,285,1670,971,2636,8928,9086,18015,1442,1411,2856,6060,6225,12284,3773,3711,7483
209041220,7235,7582,14819,3540,1921,5459,965,2014,2980,243,248,488,340,271,613,5089,4452,9539,1884,2818,4700,6.7,6.1,6.4,70.3,58.7,64.4,65.6,55.2,60.2,263,212,482,80,138,212,854,1140,1992,592,799,1392,1529,740,2269,58,92,145,98,174,267,1679,1009,2687,7339,7544,14883,907,925,1829,5771,5899,11672,2222,2328,4549
209041221,4772,5066,9831,2236,1199,3437,623,1300,1928,137,169,305,252,211,462,3252,2877,6133,1307,1940,3242,7.7,7.3,7.5,68.1,56.8,62.4,62.8,52.7,57.7,180,174,350,42,92,137,615,759,1369,399,523,921,1013,520,1528,38,49,83,77,111,190,1120,685,1802,4796,4977,9776,592,586,1171,3659,3841,7508,1502,1496,2999
209041223,8472,8504,16974,2878,1456,4337,1053,1448,2499,243,217,461,459,352,809,4637,3475,8107,3387,4567,7953,9.9,10.1,10,54.7,40.9,47.8,49.3,36.7,43,251,251,498,44,90,130,732,790,1519,513,656,1172,1260,662,1923,64,101,160,111,162,273,1433,923,2361,8148,8220,16360,1214,1131,2347,5966,6153,12126,2964,2807,5776
209041224,6187,6209,12397,3329,1619,4946,675,1637,2310,198,253,453,210,241,451,4406,3753,8165,1304,1960,3259,4.8,6.4,5.5,71.2,60.4,65.9,67.9,56.5,62.2,108,106,210,60,141,207,346,618,966,397,719,1116,1907,877,2781,49,114,168,79,170,253,2031,1165,3193,6284,6129,12410,1061,1073,2139,3815,3664,7477,3009,3099,6102
209041225,3193,3339,6529,1505,690,2197,342,933,1277,109,121,230,84,82,159,2035,1828,3862,935,1281,2213,4.1,4.5,4.1,63.7,54.7,59.2,61.3,52.2,56.7,52,73,125,29,74,100,203,363,566,196,377,574,1087,400,1494,14,57,76,36,93,126,1138,555,1691,3301,3234,6531,440,481,924,2427,2341,4767,1152,1206,2355
209041430,7032,7792,14828,4430,2159,6590,732,2491,3223,221,360,582,226,295,527,5610,5312,10921,1175,2197,3369,4,5.6,4.8,79.8,68.2,73.7,76.6,64.3,70.1,199,209,410,86,239,326,736,1197,1931,701,1117,1817,2310,1134,3445,41,121,156,113,168,280,2461,1425,3887,7675,8084,15757,1668,1860,3532,3670,3755,7428,4933,5438,10371
209041431,5144,5364,10510,2432,1201,3627,637,1261,1900,157,166,322,247,259,506,3474,2882,6359,1415,2230,3646,7.1,9,8,67.5,53.7,60.5,62.7,49,55.7,173,165,333,33,80,115,491,600,1092,377,509,888,1042,573,1621,40,72,118,77,107,183,1161,756,1921,5234,5421,10655,778,736,1514,3676,3807,7482,2013,2016,4034
209041432,3354,3487,6837,1391,712,2105,455,773,1229,118,88,206,185,163,353,2150,1742,3894,1026,1526,2548,8.6,9.4,9.1,64.1,50,57,58.6,45.1,51.8,110,114,219,33,47,76,352,413,758,272,344,618,623,304,927,31,56,84,38,92,124,690,451,1137,3225,3349,6570,538,479,1024,2288,2388,4678,1299,1272,2569
209041433,3837,4031,7861,2035,1091,3125,559,1018,1575,108,157,269,195,199,402,2901,2470,5368,736,1353,2085,6.7,8.1,7.5,75.6,61.3,68.3,70.4,56.2,63.2,279,255,531,56,88,141,537,752,1294,433,495,924,631,398,1034,32,45,72,50,72,122,717,516,1229,4125,4163,8281,852,814,1665,2120,2116,4233,2373,2436,4804
209041434,5739,6265,12001,3383,1823,5204,637,1628,2261,156,260,417,229,244,476,4399,3962,8360,1016,1923,2940,5.2,6.2,5.7,76.7,63.2,69.7,72.8,59.2,65.7,308,277,589,75,165,241,655,1019,1674,527,831,1354,1441,835,2276,47,90,143,83,148,237,1576,1074,2653,5496,5737,11228,1737,1871,3609,2181,2212,4390,4349,4712,9067
209041435,4315,4536,8845,2536,1322,3857,531,1351,1885,142,171,308,189,215,401,3393,3060,6448,756,1307,2064,5.6,7,6.2,78.6,67.5,72.9,74.4,62.7,68.4,224,201,426,43,121,166,566,755,1328,400,536,935,973,502,1477,26,50,74,68,85,156,1066,643,1714,4857,4983,9834,669,712,1379,2928,3006,5940,2219,2348,4571
209041436,4501,4965,9462,2317,1297,3618,567,1320,1887,112,154,265,191,195,388,3182,2970,6153,1152,1811,2968,6,6.6,6.3,70.7,59.8,65,66.6,55.8,61,199,146,345,57,92,152,490,713,1202,353,511,866,1041,525,1570,31,76,115,68,117,187,1145,726,1869,4778,4990,9765,688,728,1409,3301,3429,6733,1869,2051,3922
209041437,3237,3343,6585,1825,971,2800,399,707,1112,117,149,274,133,160,291,2478,1994,4472,552,1119,1673,5.4,8,6.5,76.6,59.6,67.9,72.3,54.7,63.6,249,244,493,47,68,111,468,627,1098,380,418,800,549,330,883,22,46,70,32,62,98,608,444,1047,2915,2900,5811,1147,1162,2303,447,442,888,3141,3199,6337
210011226,3057,3331,6388,1451,946,2400,303,709,1007,98,107,203,105,83,182,1949,1844,3794,907,1279,2192,5.4,4.5,4.8,63.8,55.4,59.4,60.6,52.9,56.5,100,115,216,38,74,118,343,531,880,257,360,615,755,258,1014,17,26,47,41,74,116,811,360,1169,2899,3071,5971,422,482,907,2001,2220,4226,1193,1233,2424
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,3447,3614,7063,1569,844,2408,446,892,1341,90,104,196,105,112,217,2210,1944,4161,1087,1507,2597,4.8,5.8,5.2,64.1,53.8,58.9,61.1,50.9,55.9,82,109,191,38,85,124,423,544,964,321,379,704,826,279,1107,23,37,59,58,66,123,910,383,1292,3535,3622,7155,355,371,722,2795,2901,5695,958,981,1936
210011229,10497,11366,21863,4448,2492,6942,1192,2520,3709,294,346,644,376,310,690,6314,5670,11982,3583,5021,8603,6,5.5,5.8,60.2,49.9,54.8,56.5,47.1,51.7,386,369,752,145,262,408,1468,1847,3312,795,1004,1795,2127,745,2866,45,113,161,133,233,361,2304,1086,3391,10393,11055,21451,1291,1332,2622,7747,8347,16097,3492,3575,7068
210011230,2642,2981,5621,1380,879,2258,315,792,1111,87,108,194,79,71,155,1866,1847,3714,663,999,1660,4.2,3.8,4.2,70.6,62,66.1,67.4,59.7,63.4,151,143,298,51,124,170,436,593,1027,269,329,593,563,223,787,16,28,50,33,53,84,613,306,921,2662,2883,5545,432,444,878,1809,1997,3805,1177,1252,2431
210011231,3681,3887,7564,1935,964,2898,483,1191,1673,80,126,208,116,115,229,2616,2393,5007,899,1309,2205,4.4,4.8,4.6,71.1,61.6,66.2,67.9,58.7,63.2,225,177,405,104,187,287,754,875,1635,324,415,739,722,241,960,23,26,49,60,72,135,804,342,1147,3803,3881,7682,533,532,1063,2886,2953,5832,1343,1357,2701
210021232,4793,5138,9933,2552,1160,3711,556,1611,2166,131,182,316,138,152,289,3374,3100,6475,1165,1736,2899,4.1,4.9,4.5,70.4,60.3,65.2,67.6,57.5,62.3,194,170,363,118,219,337,609,936,1543,477,649,1131,1375,507,1878,25,65,93,76,146,220,1478,720,2194,5060,5214,10276,740,753,1498,3453,3500,6959,2058,2210,4274
210021233,1343,1318,2664,612,316,926,191,356,552,55,49,106,48,38,85,901,763,1668,359,474,830,5.3,5,5.1,67.1,57.9,62.6,63.9,54.7,59.5,91,97,189,42,90,133,245,299,543,135,159,295,281,98,377,4,16,17,20,32,54,304,146,447,1440,1349,2789,148,161,307,1054,983,2039,475,450,921
210021234,1536,1642,3183,800,428,1229,197,544,737,48,70,116,44,36,80,1095,1078,2173,379,513,889,4,3.3,3.7,71.3,65.7,68.3,68,63.5,65.4,53,45,101,29,69,93,165,287,458,169,187,355,498,191,687,9,24,33,28,49,78,536,269,800,1656,1747,3401,167,184,351,1261,1325,2584,502,551,1051
210021235,3764,3724,7484,1837,840,2679,407,1053,1465,142,147,286,111,92,199,2502,2128,4632,973,1300,2269,4.4,4.3,4.3,66.5,57.1,61.9,63.4,54.8,59.2,78,84,158,55,113,164,278,496,770,313,446,760,1151,395,1547,19,63,76,65,86,144,1227,543,1769,3780,3737,7515,501,509,1010,2749,2712,5461,1327,1308,2633
210031236,3068,3251,6319,1336,813,2151,447,726,1173,99,114,216,146,107,255,2025,1767,3790,826,1240,2065,7.2,6.1,6.7,66,54.4,60,61.3,50.8,56,224,237,457,88,149,236,582,654,1237,256,291,548,439,203,640,21,27,46,29,43,70,481,274,754,2778,2930,5705,582,554,1133,1696,1900,3594,1477,1413,2882
210031237,5470,5327,10800,1961,857,2814,800,897,1696,203,134,336,368,212,573,3322,2097,5418,1825,2897,4728,11.1,10.1,10.6,60.7,39.4,50.2,54.2,35.4,44.9,370,256,624,59,91,154,713,702,1416,373,380,748,733,327,1067,30,38,71,72,93,161,841,457,1299,5286,5259,10542,1064,896,1965,3442,3601,7040,2489,2108,4598
210031239,9281,10005,19288,4648,2832,7478,1118,2301,3421,243,344,585,402,367,767,6417,5836,12252,2283,3556,5836,6.3,6.3,6.3,69.1,58.3,63.5,64.7,54.7,59.5,622,637,1259,194,365,553,1678,2049,3718,890,991,1879,1735,676,2412,47,91,138,99,168,270,1877,943,2819,8472,9018,17490,1864,1926,3786,5364,5862,11229,4523,4612,9137
210031438,9044,9163,18209,3575,2044,5623,1339,1744,3082,272,245,518,509,399,904,5701,4435,10129,2679,4097,6775,8.9,9,8.9,63,48.4,55.6,57.3,44,50.7,582,488,1070,117,210,325,1289,1418,2700,744,834,1584,1496,657,2149,55,76,131,101,168,262,1646,897,2542,7960,8137,16101,1993,1819,3808,4839,5160,9999,4575,4279,8850
210031439,1071,1189,2262,578,362,942,120,312,428,24,31,59,37,21,58,760,732,1491,248,397,643,4.9,2.9,3.9,71,61.6,65.9,67.4,59.3,63.2,44,51,92,22,32,52,147,226,380,120,121,238,242,107,347,8,21,30,10,30,43,265,154,418,1124,1265,2385,151,141,290,823,904,1729,381,422,804
210031440,2187,2393,4581,849,482,1331,268,406,673,62,63,130,97,80,182,1278,1033,2317,770,1210,1981,7.6,7.7,7.9,58.4,43.2,50.6,53.9,39.7,46.6,70,52,127,22,48,74,204,290,492,151,220,367,432,188,624,17,21,42,33,30,70,484,245,730,2201,2321,4529,297,300,597,1573,1733,3302,776,775,1556
210041240,4959,5182,10140,2521,1280,3805,595,1614,2208,129,150,279,214,204,416,3460,3248,6710,1229,1670,2903,6.2,6.3,6.2,69.8,62.7,66.2,65.4,58.7,62.1,104,107,212,55,151,207,423,675,1099,427,586,1013,1520,634,2153,40,84,125,87,133,226,1653,850,2499,5177,5319,10499,574,605,1184,3957,4039,7995,1593,1688,3275
210041241,10273,11201,21468,5405,2954,8364,1167,3026,4191,284,414,689,431,417,852,7281,6809,14092,2454,3809,6259,5.9,6.1,6,70.9,60.8,65.6,66.7,57.1,61.7,204,230,438,152,315,463,858,1364,2227,831,1301,2134,3140,1471,4614,80,171,244,169,260,432,3390,1902,5293,10161,10712,20879,1661,1828,3487,7013,7259,14272,4285,4825,9111
210051242,5423,5012,10440,1458,648,2108,769,698,1463,154,119,270,423,300,718,2796,1759,4562,2127,2776,4906,15.1,17.1,15.7,51.6,35.1,43.7,43.9,29.2,36.8,182,120,300,27,54,83,489,456,940,364,399,768,697,399,1101,43,75,114,67,74,145,804,549,1359,4930,4610,9537,1024,935,1954,3142,3095,6241,2391,2084,4475
210051243,6282,6243,12531,1639,726,2369,822,742,1560,167,116,285,445,270,719,3072,1857,4929,2687,3900,6585,14.5,14.5,14.6,48.9,29.7,39.3,41.8,25.4,33.6,119,107,226,35,43,77,383,396,783,315,459,774,889,442,1336,61,67,130,78,97,172,1028,610,1636,6348,6356,12708,919,879,1802,4583,4732,9313,2205,2017,4225
210051245,7079,7593,14674,3127,1795,4919,875,1821,2697,222,235,459,337,259,592,4556,4107,8666,2138,3039,5181,7.4,6.3,6.8,64.4,54.1,59.1,59.7,50.7,55,123,150,269,67,145,211,611,829,1443,546,756,1299,1757,717,2476,52,91,139,100,189,291,1907,995,2906,7072,7433,14511,829,832,1662,5395,5716,11117,2221,2292,4518
210051246,6584,6515,13102,3412,1708,5125,858,1807,2666,221,225,443,220,244,464,4712,3992,8703,1598,2298,3892,4.7,6.1,5.3,71.6,61.3,66.4,68.2,57.4,62.8,192,192,385,63,115,177,819,1004,1828,558,706,1268,1469,551,2020,40,92,126,100,168,269,1604,815,2420,6716,6622,13338,917,955,1877,4735,4656,9396,2582,2630,5216
210051247,5635,5777,11413,1645,768,2414,736,859,1589,173,128,301,390,317,707,2943,2070,5011,2269,3329,5597,13.3,15.3,14.1,52.2,35.8,43.9,45.3,30.4,37.7,93,59,154,36,53,86,400,442,835,296,465,765,766,470,1239,50,84,131,81,88,169,888,644,1528,5926,6008,11935,780,783,1560,4390,4526,8924,1918,1886,3804
210051248,88,87,169,27,17,44,3,4,8,0,3,5,0,0,0,31,28,61,4,15,21,0,0,0,35.2,32.2,36.1,34.1,27.6,33.7,5,0,8,0,0,0,10,13,21,0,4,3,7,3,12,0,0,0,0,0,0,7,8,17,37,43,87,4,4,8,32,35,67,18,15,31
210051249,7870,8246,16115,2899,1539,4435,1109,1445,2557,241,195,433,507,405,918,4765,3583,8346,2672,4258,6931,10.6,11.3,11,60.5,43.5,51.8,54,38.6,46.1,245,232,483,51,137,185,746,933,1677,561,748,1312,1091,671,1761,74,106,180,107,141,249,1271,926,2192,8671,9051,17721,1228,1235,2463,5906,6193,12102,3397,3522,6917
210051250,2709,2788,5499,1194,754,1944,284,548,835,99,98,199,135,100,232,1714,1493,3209,786,1107,1895,7.9,6.7,7.2,63.3,53.6,58.4,58.2,50.2,54.2,46,73,116,28,56,84,214,342,558,200,283,486,648,287,940,19,40,62,39,69,107,707,396,1102,2436,2529,4961,410,415,823,1671,1786,3452,1080,1047,2124
210051441,3303,3243,6550,1537,733,2267,407,732,1139,95,98,191,213,205,412,2245,1766,4014,876,1282,2158,9.5,11.6,10.3,68,54.5,61.3,61.7,48.2,54.9,87,104,187,16,47,63,226,271,495,214,320,535,790,388,1174,30,39,63,44,82,127,861,503,1367,3337,3296,6633,531,501,1032,2387,2433,4816,1267,1181,2452
210051442,3996,4121,8121,2174,1079,3252,544,982,1521,126,150,277,226,208,433,3062,2419,5484,725,1481,2207,7.4,8.6,7.9,76.6,58.7,67.5,71.2,53.7,62.2,208,227,433,44,82,127,462,596,1066,411,490,904,752,443,1191,33,31,72,48,90,139,838,559,1396,4489,4526,9015,800,785,1583,2743,2704,5449,2115,2142,4254
210051443,6192,6255,12440,3021,1552,4574,862,1438,2297,208,170,375,346,344,693,4430,3502,7932,1482,2443,3928,7.8,9.8,8.7,71.5,56,63.8,66.1,50.5,58.2,254,258,512,47,90,132,634,779,1410,527,668,1198,1249,703,1952,60,100,165,90,124,217,1401,930,2328,6168,6014,12184,1436,1416,2852,3684,3644,7330,3433,3328,6761
210051444,4895,5183,10076,2594,1296,3895,618,1081,1698,176,199,371,271,294,566,3651,2870,6525,998,2090,3085,7.4,10.2,8.7,74.6,55.4,64.8,69.2,49.7,59.2,368,342,708,61,90,149,670,888,1555,578,600,1173,819,542,1361,34,62,96,74,89,161,929,696,1622,4853,4890,9746,1607,1663,3274,1528,1534,3068,4208,4373,8581
210051445,1329,1320,2653,758,427,1182,128,336,466,43,48,86,48,40,87,972,853,1817,284,402,685,4.9,4.7,4.8,73.1,64.6,68.5,69.9,61.4,65.4,48,51,103,14,32,47,141,180,318,121,187,302,328,186,510,13,15,27,23,20,43,367,211,577,1023,992,2013,529,544,1078,558,509,1068,889,943,1832
211011251,4849,5166,10019,2307,1312,3621,593,1220,1809,151,176,328,216,166,379,3270,2875,6137,1319,1992,3314,6.6,5.8,6.2,67.4,55.7,61.3,62.9,52.4,57.5,207,220,424,64,130,194,619,795,1411,435,542,974,1146,591,1738,36,52,84,71,125,200,1254,768,2019,4576,4779,9352,774,848,1619,3091,3185,6275,2050,2222,4277
211011254,5984,6299,12281,2994,1627,4617,752,1663,2411,158,177,337,253,226,485,4155,3691,7851,1601,2370,3966,6.1,6.1,6.2,69.4,58.6,63.9,65.2,55,60,337,294,630,109,170,277,994,1180,2171,542,700,1244,1301,606,1909,35,81,113,88,143,229,1425,825,2245,5995,6147,12146,925,999,1923,4083,4209,8295,2582,2704,5280
211011255,2608,2697,5301,1520,732,2256,360,932,1296,62,95,156,86,76,161,2031,1835,3863,439,733,1177,4.2,4.1,4.2,77.9,68,72.9,74.5,65.2,69.9,104,89,189,40,75,112,370,465,829,236,314,547,658,264,923,15,15,35,33,56,86,704,334,1047,2798,2834,5635,234,251,484,2211,2251,4456,748,770,1513
211011256,6123,6468,12591,3224,1842,5062,864,1851,2715,147,202,352,231,221,456,4468,4112,8581,1434,2136,3571,5.2,5.4,5.3,73,63.6,68.2,69.2,60.2,64.6,312,283,597,96,162,262,941,1133,2075,568,760,1327,1336,616,1948,37,61,95,87,146,230,1456,818,2274,6245,6511,12755,735,765,1495,4841,5043,9886,1911,2046,3959
211011257,3075,3269,6346,1706,920,2622,408,1001,1404,67,96,163,108,110,213,2284,2128,4409,711,1075,1786,4.7,5.2,4.8,74.3,65.1,69.5,70.9,61.7,66,177,171,351,50,87,140,447,582,1030,316,404,722,710,305,1015,8,28,43,49,83,127,766,418,1183,3411,3542,6954,322,350,673,2664,2714,5378,938,1039,1977
211011258,4211,4378,8590,2289,1229,3522,597,1313,1915,109,136,246,138,148,284,3140,2836,5971,943,1412,2352,4.4,5.2,4.8,74.6,64.8,69.5,71.1,61.2,66.2,234,176,416,56,102,162,654,804,1459,405,506,909,924,383,1306,21,48,66,58,94,152,996,525,1519,4505,4585,9093,418,439,848,3633,3689,7318,1169,1211,2381
211011259,5566,6040,11605,2602,1482,4089,742,1575,2316,152,150,301,215,192,414,3709,3407,7114,1642,2409,4050,5.8,5.6,5.8,66.6,56.4,61.3,62.8,53.1,57.8,344,309,648,97,182,280,973,1109,2078,584,679,1261,1113,476,1589,32,57,97,84,147,231,1235,684,1917,5547,5951,11501,739,810,1551,4216,4416,8634,1892,2148,4040
211011260,7152,8040,15194,3292,1946,5236,1008,2030,3033,153,196,347,312,271,581,4764,4440,9200,2161,3393,5554,6.5,6.1,6.3,66.6,55.2,60.6,62.3,51.9,56.7,510,448,953,154,221,369,1379,1595,2978,633,822,1456,1206,613,1818,56,72,126,93,160,255,1353,847,2197,7021,7635,14657,1025,1187,2212,5233,5663,10892,2630,2914,5547
211011446,8756,9585,18343,4241,2436,6670,1081,2401,3482,221,314,538,358,288,651,5903,5437,11340,2359,3608,5964,6.1,5.3,5.7,67.4,56.7,61.8,63.3,53.7,58.3,315,316,630,121,261,381,982,1393,2375,760,1139,1895,2438,1085,3526,70,120,194,129,217,349,2644,1431,4073,8426,8918,17351,1311,1444,2753,5797,6173,11972,3576,3803,7375
211011447,5542,5950,11493,2703,1499,4208,646,1499,2145,140,195,338,221,177,398,3715,3372,7092,1583,2266,3844,5.9,5.2,5.6,67,56.7,61.7,63,53.7,58.2,178,219,398,81,167,248,662,859,1519,451,694,1142,1564,701,2270,45,83,127,74,154,230,1684,939,2628,5607,5830,11431,664,681,1348,4026,4143,8166,2016,2104,4124
211011448,5798,6133,11928,3055,1584,4642,738,1823,2565,156,229,383,229,213,440,4183,3851,8027,1426,2068,3494,5.5,5.5,5.5,72.1,62.8,67.3,68.1,59.3,63.6,179,213,386,83,162,241,659,914,1578,544,724,1262,1648,742,2392,47,79,135,78,146,224,1776,969,2746,6055,6244,12304,641,681,1318,4548,4689,9240,1912,2030,3942
